mnd,ledighet,ledig_trend3,ledig_trend6
1/31/2008,2.6,,
2/29/2008,2.6,,
3/31/2008,2.6,0.000,
4/30/2008,2.7,0.033,
5/31/2008,2.8,0.067,0.033
6/30/2008,2.9,0.067,0.050
7/31/2008,2.9,0.033,0.050
8/31/2008,3,0.033,0.050
9/30/2008,3.1,0.067,0.050
10/31/2008,3.1,0.033,0.033
11/30/2008,3.1,0.000,0.033
12/31/2008,3.2,0.033,0.033
1/31/2009,3.2,0.033,0.017
2/28/2009,3.3,0.033,0.033
3/31/2009,3.4,0.067,0.050
4/30/2009,3.4,0.033,0.033
5/31/2009,3.4,0.000,0.033
6/30/2009,3.4,0.000,0.017
7/31/2009,3.4,0.000,0.000
8/31/2009,3.4,0.000,0.000
9/30/2009,3.5,0.033,0.017
10/31/2009,3.6,0.067,0.033
11/30/2009,3.7,0.067,0.050
12/31/2009,3.8,0.067,0.067
1/31/2010,3.9,0.067,0.067
2/28/2010,3.9,0.033,0.050
3/31/2010,3.9,0.000,0.033
4/30/2010,4,0.033,0.033
5/31/2010,4,0.033,0.017
6/30/2010,4,0.000,0.017
7/31/2010,4,0.000,0.017
8/31/2010,3.9,-0.033,-0.017
9/30/2010,3.9,-0.033,-0.017
10/31/2010,3.7,-0.067,-0.050
11/30/2010,3.6,-0.100,-0.067
12/31/2010,3.5,-0.067,-0.067
1/31/2011,3.5,-0.033,-0.067
2/28/2011,3.5,0.000,-0.033
3/31/2011,3.5,0.000,-0.017
4/30/2011,3.5,0.000,0.000
5/31/2011,3.6,0.033,0.017
6/30/2011,3.6,0.033,0.017
7/31/2011,3.6,0.000,0.017
8/31/2011,3.5,-0.033,0.000
9/30/2011,3.5,-0.033,-0.017
10/31/2011,3.6,0.033,0.000
11/30/2011,3.6,0.033,0.000
12/31/2011,3.6,0.000,0.017
1/31/2012,3.6,0.000,0.017
2/29/2012,3.6,0.000,0.000
3/31/2012,3.5,-0.033,-0.017
4/30/2012,3.4,-0.067,-0.033
5/31/2012,3.4,-0.033,-0.033
6/30/2012,3.4,0.000,-0.033
7/31/2012,3.4,0.000,-0.017
8/31/2012,3.4,0.000,0.000
9/30/2012,3.5,0.033,0.017
10/31/2012,3.6,0.067,0.033
11/30/2012,3.7,0.067,0.050
12/31/2012,3.7,0.033,0.050
1/31/2013,3.8,0.033,0.050
2/28/2013,3.9,0.067,0.050
3/31/2013,3.9,0.033,0.033
4/30/2013,3.9,0.000,0.033
5/31/2013,3.9,0.000,0.017
6/30/2013,3.9,0.000,0.000
7/31/2013,3.9,0.000,0.000
8/31/2013,3.8,-0.033,-0.017
9/30/2013,3.8,-0.033,-0.017
10/31/2013,3.9,0.033,0.000
11/30/2013,3.9,0.033,0.000
12/31/2013,3.9,0.000,0.017
1/31/2014,3.8,-0.033,0.000
2/28/2014,3.8,-0.033,-0.017
3/31/2014,3.7,-0.033,-0.033
4/30/2014,3.7,-0.033,-0.033
5/31/2014,3.6,-0.033,-0.033
6/30/2014,3.7,0.000,-0.017
7/31/2014,3.8,0.067,0.017
8/31/2014,3.8,0.033,0.017
9/30/2014,3.9,0.033,0.050
10/31/2014,4,0.067,0.050
11/30/2014,4.1,0.067,0.050
12/31/2014,4.1,0.033,0.050
1/31/2015,4.2,0.033,0.050
2/28/2015,4.3,0.067,0.050
3/31/2015,4.4,0.067,0.050
4/30/2015,4.5,0.067,0.067
5/31/2015,4.6,0.067,0.067
6/30/2015,4.7,0.067,0.067
7/31/2015,4.7,0.033,0.050
8/31/2015,4.8,0.033,0.050
9/30/2015,4.9,0.067,0.050
10/31/2015,5,0.067,0.050
11/30/2015,5,0.033,0.050
12/31/2015,5,0.000,0.033
1/31/2016,5,0.000,0.017
2/29/2016,5,0.000,0.000
3/31/2016,4.9,-0.033,-0.017
4/30/2016,4.9,-0.033,-0.017
5/31/2016,4.9,0.000,-0.017
6/30/2016,4.9,0.000,-0.017
7/31/2016,4.9,0.000,0.000
8/31/2016,4.9,0.000,0.000
9/30/2016,4.8,-0.033,-0.017
10/31/2016,4.7,-0.067,-0.033
11/30/2016,4.6,-0.067,-0.050
12/31/2016,4.5,-0.067,-0.067
1/31/2017,4.5,-0.033,-0.050
2/28/2017,4.5,0.000,-0.033
3/31/2017,4.6,0.033,0.000
4/30/2017,4.6,0.033,0.017
5/31/2017,4.6,0.000,0.017
6/30/2017,4.5,-0.033,0.000
7/31/2017,4.3,-0.100,-0.050
8/31/2017,4.2,-0.100,-0.067
9/30/2017,4.2,-0.033,-0.067
10/31/2017,4.1,-0.033,-0.067
11/30/2017,4.1,-0.033,-0.033
12/31/2017,4.1,0.000,-0.017
1/31/2018,4.1,0.000,-0.017
2/28/2018,4.1,0.000,0.000
3/31/2018,4.1,0.000,0.000
4/30/2018,4.1,0.000,0.000
5/31/2018,4.1,0.000,0.000
6/30/2018,4.1,0.000,0.000
7/31/2018,4,-0.033,-0.017
8/31/2018,4,-0.033,-0.017
9/30/2018,4,0.000,-0.017
10/31/2018,3.9,-0.033,-0.033
11/30/2018,3.9,-0.033,-0.017
12/31/2018,3.8,-0.033,-0.033
1/31/2019,3.8,-0.033,-0.033
2/28/2019,3.8,0.000,-0.017
3/31/2019,3.7,-0.033,-0.033
4/30/2019,3.7,-0.033,-0.017
5/31/2019,3.8,0.033,0.000
6/30/2019,3.9,0.067,0.017
7/31/2019,4,0.067,0.050
8/31/2019,4,0.033,0.050
9/30/2019,4.1,0.033,0.050
10/31/2019,4.1,0.033,0.033
11/30/2019,4.1,0.000,0.017
12/31/2019,4.1,0.000,0.017
1/31/2020,4,-0.033,-0.017
2/29/2020,4,-0.033,-0.017
3/31/2020,3.9,-0.033,-0.033
4/30/2020,4.2,0.067,0.017
5/31/2020,4.7,0.267,0.117
6/30/2020,5.3,0.367,0.217
7/31/2020,5.4,0.233,0.250
8/31/2020,5.5,0.067,0.217
9/30/2020,5.3,-0.033,0.100
10/31/2020,5.3,-0.067,0.000
11/30/2020,5.2,-0.033,-0.033
12/31/2020,5,-0.100,-0.083
1/31/2021,5,-0.067,-0.050
2/28/2021,4.9,-0.033,-0.067
3/31/2021,4.9,-0.033,-0.050
4/30/2021,5,0.033,0.000
5/31/2021,5,0.033,0.000
6/30/2021,5,0.000,0.017
7/31/2021,4.5,-0.167,-0.067
8/31/2021,4.2,-0.267,-0.133
9/30/2021,3.8,-0.233,-0.200
10/31/2021,3.8,-0.133,-0.200
11/30/2021,3.6,-0.067,-0.150
12/31/2021,3.5,-0.100,-0.117
1/31/2022,3.3,-0.100,-0.083
2/28/2022,3.2,-0.100,-0.100
3/31/2022,3.1,-0.067,-0.083
4/30/2022,3.1,-0.033,-0.067
5/31/2022,3.1,0.000,-0.033
6/30/2022,3.1,0.000,-0.017
7/31/2022,3.2,0.033,0.017
8/31/2022,3.3,0.067,0.033
9/30/2022,3.3,0.033,0.033
10/31/2022,3.4,0.033,0.050
11/30/2022,3.4,0.033,0.033
12/31/2022,3.4,0.000,0.017
1/31/2023,3.5,0.033,0.033
2/28/2023,3.5,0.033,0.017
3/31/2023,3.5,0.000,0.017
4/30/2023,3.5,0.000,0.017
5/31/2023,3.6,0.033,0.017
6/30/2023,3.6,0.033,0.017
7/31/2023,3.6,0.000,0.017
8/31/2023,3.6,0.000,0.017
9/30/2023,3.6,0.000,0.000
10/31/2023,3.7,0.033,0.017
11/30/2023,3.7,0.033,0.017
12/31/2023,3.8,0.033,0.033
1/31/2024,3.9,0.067,0.050
2/29/2024,3.9,0.033,0.033
3/31/2024,4,0.033,0.050
4/30/2024,4,0.033,0.033
5/31/2024,4,0.000,0.017
6/30/2024,4,0.000,0.017
7/31/2024,4,0.000,0.000
8/31/2024,4,0.000,0.000
9/30/2024,4,0.000,0.000
10/31/2024,4,0.000,0.000
11/30/2024,4.1,0.033,0.017
12/31/2024,4.1,0.033,0.017
1/31/2025,4.1,0.000,0.017
2/28/2025,4.1,0.000,0.017
3/31/2025,4,-0.033,-0.017
4/30/2025,4,-0.033,-0.017
5/31/2005,4,0.000,-0.017
6/30/2025,4,0.000,-0.017
7/31/2025,4,0.000,0.000
8/31/2025,4,0.000,0.000
9/30/2025,4,0.000,0.000
